source_file,invoice_date,description,quantity,amount
20260514_taco237705889504678_merged.pdf,2026-05-14,Hybrid Tomato,1,23
20260514_taco237705889504678_merged.pdf,2026-05-14,Organic Mandya High protein paneer,1,152
20260514_taco237705889504678_merged.pdf,2026-05-14,Potato (Aloo Gadde),1,25
20260514_taco237705889504678_merged.pdf,2026-05-14,Amul Gold Homogenised Standardised Full Cream Milk,1,83
20260514_taco237740846979353_merged.pdf,2026-05-14,Onion (Eerulli),1,26
20260514_taco237740846979353_merged.pdf,2026-05-14,"Sumeet Stainless Steel Rectangular 5 in 1 Compartment Lunch / Dinner Plate (33.5cm Dia, 1L, Silver)",1,310
20260514_taco237740846979353_merged.pdf,2026-05-14,Amul Fresh Paneer,2,210
20260518_taco238088024303314_merged.pdf,2026-05-18,Bitter Gourd (Haagalakaayi),1,32
20260518_taco238088024303314_merged.pdf,2026-05-18,Milky Mist Greek Yogurt Cup,4,192.02
20260518_taco238088024303314_merged.pdf,2026-05-18,English Cucumber (Sowthekaayi),1,23
20260518_taco238088024303314_merged.pdf,2026-05-18,Carrot,1,32
20260518_taco238088024303314_merged.pdf,2026-05-18,Amul Gold Homogenised Standardised Full Cream Milk,2,166
20260518_taco238088024303314_merged.pdf,2026-05-18,Bottle Gourd (Sorekaayi),1,21
20260518_taco238088024303314_merged.pdf,2026-05-18,Popular Fit Eats Pumpkin Seeds Raw,2,162.24
20260518_taco238088024303314_merged.pdf,2026-05-18,Tata Sampann 100% Pure Premium Raisins/Kishmish,1,149
20260518_taco238088024303314_merged.pdf,2026-05-18,Nescafe Classic - Instant Coffee Powder - 100% Pure Coffee,1,230
20260518_taco238088024303314_merged.pdf,2026-05-18,Nutraj Premium Arabian Dates,1,135
20260518_taco238088024303314_merged.pdf,2026-05-18,Milking Organic High Protien Paneer,1,109
20260518_taco238088024303314_merged.pdf,2026-05-18,Organeekz Organic Saunf /Fennel,1,42
20260518_taco238088024303314_merged.pdf,2026-05-18,Tata Sampann - 100% Pure California Almonds /Badam,1,498
20260524_taco238578064904817_merged.pdf,2026-05-24,Indian Tomato,1,27
20260524_taco238578064904817_merged.pdf,2026-05-24,Onion (Eerulli),1,26
20260524_taco238578064904817_merged.pdf,2026-05-24,Cauliflower (Hoo Kosu),1,42
20260524_taco238578064904817_merged.pdf,2026-05-24,Lady's Finger (Bendekaayi),2,28
20260524_taco238578064904817_merged.pdf,2026-05-24,Potato (Aloo Gadde),1,26
20260524_taco238578064904817_merged.pdf,2026-05-24,Delivery Fees for Order 238578064904817,996813,30
20260524_taco238589331587507_merged.pdf,2026-05-24,Harpic Power Plus Stain Removal Disinfectant Toilet Cleaner (Original),2,278
20260524_taco238589331587507_merged.pdf,2026-05-24,Nimyle Floor Cleaner (Pine),1,106
20260524_taco238589331587507_merged.pdf,2026-05-24,The Baker's Dozen Zero Maida Love Cake - Chocolate,1,21
20260524_taco238589331587507_merged.pdf,2026-05-24,"Joyo Better Home Square Mug (1.1L, Printed, Brown)",1,89
20260524_taco238589331587507_merged.pdf,2026-05-24,"Doctor's Choice 28.12g High Protein Oats, Rich In Fiber, No Refine Sugar - Dark Choco Berry",1,600
20260526_taco238775965288213_merged.pdf,2026-05-26,Amul Malai Paneer,2,240
20260526_taco238775965288213_merged.pdf,2026-05-26,Cluster Beans (Gorikayi),2,28
20260526_taco238775965288213_merged.pdf,2026-05-26,Carrot,1,40
20260526_taco238775965288213_merged.pdf,2026-05-26,Spinach (Palak Soppu),1,42
20260526_taco238775965288213_merged.pdf,2026-05-26,Potato (Aloo Gadde),1,26
20260526_taco238775965288213_merged.pdf,2026-05-26,Amul Gold Homogenised Standardised Full Cream Milk,1,83
20260529_taco239045387895474_merged.pdf,2026-05-29,Milky Mist Greek Yogurt Cup,4,192.02
20260529_taco239045387895474_merged.pdf,2026-05-29,"Stanley Claw Hammer with Steel Shaft for Masonry, Woodwork, Fittings for Home (Grey and Black, 51-152)",1,279
20260529_taco239045387895474_merged.pdf,2026-05-29,Amul Gold Homogenised Standardised Full Cream Milk,2,166
20260530_taco239095962456455_merged.pdf,2026-05-30,Indian Tomato,1,27
20260530_taco239095962456455_merged.pdf,2026-05-30,Onion (Eerulli),1,27
20260530_taco239095962456455_merged.pdf,2026-05-30,Coriander Leaves ( Kottambari Soppu ),1,11
20260530_taco239095962456455_merged.pdf,2026-05-30,Green Cucumber (Hasiru Soutekaayi),1,15
20260530_taco239095962456455_merged.pdf,2026-05-30,Lady's Finger (Bendekaayi),2,24
20260530_taco239095962456455_merged.pdf,2026-05-30,Garlic (Bellulli),1,52
20260530_taco239095962456455_merged.pdf,2026-05-30,Potato (Aloo Gadde),1,26
20260530_taco239095962456455_merged.pdf,2026-05-30,Delivery Fees for Order 239095962456455,996813,30
20260531_taco239180369058406_merged.pdf,2026-05-31,Odonil Air Freshener Zipper Mix,1,149
20260531_taco239180369058406_merged.pdf,2026-05-31,Gowardhan Fresh Paneer,1,85
20260531_taco239180369058406_merged.pdf,2026-05-31,Shanya Premium Stainless Steel Concealed Wall Hook – Premium Finish Waterproof,2,164
20260531_taco239180369058406_merged.pdf,2026-05-31,Milking Organic High Protien Paneer,1,109
